,Action,Type,Time(s),Time (GMT+0000),Time (GMT+0200),Video time (s),Video time (hh:mm:ss),Application,Activity,Flows
0,Open Thunderbird app,Left Click,1712306322.06108,08:38:42,10:38:42,39,00:00:39,Thunderbird,Email,"[5, 17, 16, 18, 115]"
1,"Open ""Welcome to Facebook"" mail",Left Click,1712306332.357375,08:38:52,10:38:52,49,00:00:49,Thunderbird,Email,
2,"Click on ""New message"" button",Left Click,1712306336.301288,08:38:56,10:38:56,53,00:00:53,Thunderbird,Email,[116]
3,"Click on ""To"" field",Left Click,1712306339.429285,08:38:59,10:38:59,56,00:00:56,Thunderbird,Email,[117]
4,"Click on ""Subject"" field",Left Click,1712306368.629534,08:39:28,10:39:28,85,00:01:25,Thunderbird,Email,
5,"Click on ""message"" field",Left Click,1712306372.261456,08:39:32,10:39:32,89,00:01:29,Thunderbird,Email,
6,"Click on ""Send"" button",Left Click,1712306381.709767,08:39:41,10:39:41,98,00:01:38,Thunderbird,Email,"[19, 6]"
7,Minimizing Thunderbird window,Left Click,1712306393.645767,08:39:53,10:39:53,110,00:01:50,Thunderbird,Email,
8,Open Firefox app,Left Click,1712306398.061759,08:39:58,10:39:58,115,00:01:55,Firefox,WEB Browsing,"[118, 7, 8, 119, 20, 9, 11, 10, 120, 12, 21, 22, 23, 121]"
9,Click on Firefox url bar,Left Click,1712306403.277776,08:40:03,10:40:03,120,00:02:00,Firefox,WEB Browsing,"[13, 122, 14, 123, 24, 79, 124, 80, 125, 81, 126, 25, 26, 82, 127, 128, 129, 83, 27, 130, 15, 131, 132, 133, 28, 84, 134, 29, 135, 30, 136, 137, 31, 138, 139, 85]"
10,"Click on ""Email"" field",Left Click,1712306415.517904,08:40:15,10:40:15,132,00:02:12,Firefox_Facebook,Social Network,
11,Select registered credentials dropdown proposition,Left Click,1712306416.157895,08:40:16,10:40:16,133,00:02:13,Firefox_Facebook,Social Network,
12,"Click on ""Password"" field",Left Click,1712306417.269871,08:40:17,10:40:17,134,00:02:14,Firefox_Facebook,Social Network,
