event at 1712306315.693127, code 00, type 00, val -1
event at 1712306315.693127, code 01, type 01, val -1
event at 1712306315.693127, code 00, type 00, val 00
event at 1712306315.701111, code 00, type 00, val 01
event at 1712306315.701111, code 01, type 01, val -2
event at 1712306315.701111, code 00, type 00, val 00
event at 1712306315.709082, code 01, type 01, val -2
event at 1712306315.709082, code 00, type 00, val 00
event at 1712306315.717044, code 01, type 01, val -3
event at 1712306315.717044, code 00, type 00, val 00
event at 1712306315.725088, code 01, type 01, val -2
event at 1712306315.725088, code 00, type 00, val 00
event at 1712306315.733088, code 01, type 01, val -3
event at 1712306315.733088, code 00, type 00, val 00
event at 1712306315.741076, code 01, type 01, val -2
event at 1712306315.741076, code 00, type 00, val 00
event at 1712306315.749098, code 01, type 01, val -3
event at 1712306315.749098, code 00, type 00, val 00
event at 1712306315.757052, code 01, type 01, val -2
event at 1712306315.757052, code 00, type 00, val 00
event at 1712306315.765058, code 00, type 00, val 01
event at 1712306315.765058, code 01, type 01, val -3
event at 1712306315.765058, code 00, type 00, val 00
event at 1712306315.773080, code 00, type 00, val 01
event at 1712306315.773080, code 01, type 01, val -1
event at 1712306315.773080, code 00, type 00, val 00
event at 1712306315.781091, code 00, type 00, val 01
event at 1712306315.781091, code 01, type 01, val -2
event at 1712306315.781091, code 00, type 00, val 00
event at 1712306315.789021, code 00, type 00, val 01
event at 1712306315.789021, code 01, type 01, val -2
event at 1712306315.789021, code 00, type 00, val 00
event at 1712306315.797106, code 00, type 00, val 01
event at 1712306315.797106, code 01, type 01, val -3
event at 1712306315.797106, code 00, type 00, val 00
event at 1712306315.805024, code 00, type 00, val 01
event at 1712306315.805024, code 01, type 01, val -1
event at 1712306315.805024, code 00, type 00, val 00
event at 1712306315.821061, code 01, type 01, val -1
event at 1712306315.821061, code 00, type 00, val 00
event at 1712306315.845032, code 01, type 01, val -1
event at 1712306315.845032, code 00, type 00, val 00
event at 1712306315.853126, code 00, type 00, val 01
event at 1712306315.853126, code 01, type 01, val -2
event at 1712306315.853126, code 00, type 00, val 00
event at 1712306315.877049, code 00, type 00, val 01
event at 1712306315.877049, code 01, type 01, val -1
event at 1712306315.877049, code 00, type 00, val 00
event at 1712306315.901080, code 00, type 00, val 01
event at 1712306315.901080, code 01, type 01, val -1
event at 1712306315.901080, code 00, type 00, val 00
event at 1712306315.917045, code 00, type 00, val 01
event at 1712306315.917045, code 01, type 01, val -1
event at 1712306315.917045, code 00, type 00, val 00
event at 1712306315.933073, code 00, type 00, val 01
event at 1712306315.933073, code 01, type 01, val -1
event at 1712306315.933073, code 00, type 00, val 00
event at 1712306316.269083, code 01, type 01, val 01
event at 1712306316.269083, code 00, type 00, val 00
event at 1712306316.277242, code 01, type 01, val 01
event at 1712306316.277242, code 00, type 00, val 00
event at 1712306316.293068, code 01, type 01, val 01
event at 1712306316.293068, code 00, type 00, val 00
event at 1712306316.301078, code 00, type 00, val 01
event at 1712306316.301078, code 01, type 01, val 02
event at 1712306316.301078, code 00, type 00, val 00
event at 1712306316.309097, code 00, type 00, val 01
event at 1712306316.309097, code 01, type 01, val 02
event at 1712306316.309097, code 00, type 00, val 00
event at 1712306316.317098, code 00, type 00, val 01
event at 1712306316.317098, code 01, type 01, val 02
event at 1712306316.317098, code 00, type 00, val 00
event at 1712306316.325060, code 00, type 00, val 02
event at 1712306316.325060, code 01, type 01, val 02
event at 1712306316.325060, code 00, type 00, val 00
event at 1712306316.333055, code 00, type 00, val 02
event at 1712306316.333055, code 01, type 01, val 03
event at 1712306316.333055, code 00, type 00, val 00
event at 1712306316.341096, code 00, type 00, val 03
event at 1712306316.341096, code 01, type 01, val 03
event at 1712306316.341096, code 00, type 00, val 00
event at 1712306316.349074, code 00, type 00, val 03
event at 1712306316.349074, code 01, type 01, val 02
event at 1712306316.349074, code 00, type 00, val 00
event at 1712306316.357077, code 00, type 00, val 03
event at 1712306316.357077, code 01, type 01, val 03
event at 1712306316.357077, code 00, type 00, val 00
event at 1712306316.365073, code 00, type 00, val 04
event at 1712306316.365073, code 01, type 01, val 03
event at 1712306316.365073, code 00, type 00, val 00
event at 1712306316.373026, code 00, type 00, val 04
event at 1712306316.373026, code 01, type 01, val 02
event at 1712306316.373026, code 00, type 00, val 00
event at 1712306316.381071, code 00, type 00, val 05
event at 1712306316.381071, code 01, type 01, val 02
event at 1712306316.381071, code 00, type 00, val 00
event at 1712306316.389040, code 00, type 00, val 04
