,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Binary,Protocol,Service,Application,Webpage,Action,Activity
0,0,0,172.16.68.1,00:50:56:c0:00:01,00:50:56,5353,224.0.0.251,01:00:5e:00:00:fb,01:00:5e,5353,17,4,0,0,1712306303094,1712306399114,96020,3,246,1712306303094,1712306399114,96020,3,246,0,0,0,0,0,82,82.0,0.0,82,82,82.0,0.0,82,0,0.0,0.0,0,32022,48010.0,22610.446435221045,63998,32022,48010.0,22610.446435221045,63998,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,0,6,_pgpkey-hkp._tcp.local,,,,,Normal,UDP,mdns,MDNS,_pgpkey-hkp._tcp.local,,Network
1,1,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,68,192.168.3.1,00:0c:29:6d:3c:ad,00:0c:29,67,17,4,0,0,1712306310470,1712306310475,5,2,682,1712306310470,1712306310470,0,1,340,1712306310475,1712306310475,0,1,342,340,341.0,1.4142135623730951,342,340,340.0,0.0,340,342,342.0,0.0,342,5,5.0,0.0,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHCP,Network,0,6,user-virtual-machine,"1,2,6,12,15,26,28,121,3,33,40,41,42,119,249,252",,,,Normal,UDP,bootps,DHCP,user-virtual-machine,,Network
2,2,0,fe80::fb2f:9b7d:473d:32f2,00:0c:29:50:75:05,00:0c:29,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1712306310495,1712306311007,512,2,220,1712306310495,1712306311007,512,2,220,0,0,0,0,0,110,110.0,0.0,110,110,110.0,0.0,110,0,0.0,0.0,0,512,512.0,0.0,512,512,512.0,0.0,512,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,,Normal,ICMPV6,,ICMPV6,,,Network
3,3,0,fe80::250:56ff:fec0:1,00:50:56:c0:00:01,00:50:56,5353,ff02::fb,33:33:00:00:00:fb,33:33:00,5353,17,6,0,0,1712306303094,1712306399114,96020,3,306,1712306303094,1712306399114,96020,3,306,0,0,0,0,0,102,102.0,0.0,102,102,102.0,0.0,102,0,0.0,0.0,0,32022,48010.0,22610.446435221045,63998,32022,48010.0,22610.446435221045,63998,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MDNS,Network,0,6,_pgpkey-hkp._tcp.local,,,,,Normal,UDP,mdns,MDNS,_pgpkey-hkp._tcp.local,,Network
4,4,0,172.16.68.1,00:50:56:c0:00:01,00:50:56,56095,239.255.255.250,01:00:5e:7f:ff:fa,01:00:5e,3702,17,4,0,0,1712306307648,1712306307648,0,1,689,1712306307648,1712306307648,0,1,689,0,0,0,0,0,689,689.0,0.0,689,689,689.0,0.0,689,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WSD,Network,0,6,,,,,,Normal,UDP,,WSD,,,Network
5,5,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,40724,8.8.4.4,00:0c:29:6d:3c:ad,00:0c:29,53,6,4,0,0,1712306324301,1712306327256,2955,50,5268,1712306324301,1712306327256,2955,25,1955,1712306324422,1712306327256,2834,25,3313,54,105.36,81.72546377091676,438,60,78.19999999999999,20.308044383117405,111,54,132.52,108.107246133951,438,0,60.30612244897959,282.4903541186283,1971,0,123.125,398.1694322008289,1971,0,118.08333333333334,404.2749727885569,1996,2,0,0,0,49,23,0,2,1,0,0,0,24,11,0,1,1,0,0,0,25,12,0,1,DNS,Network,0,6,thunderbird-settings.thunderbird.net,,,,,Normal,TCP,domain,DNS,thunderbird-settings.thunderbird.net,Open Thunderbird app,Network
6,6,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,36914,52.97.211.210,00:0c:29:6d:3c:ad,00:0c:29,587,6,4,0,0,1712306381924,1712306390651,8727,54,11548,1712306381924,1712306390651,8727,22,4160,1712306381949,1712306390649,8700,32,7388,54,213.85185185185188,391.6502775463925,1627,60,189.0909090909091,346.9060403997037,1627,54,230.875,424.252112356214,1514,0,164.6603773584906,716.3889130535234,4959,0,415.5714285714286,1108.396435009991,4959,0,280.64516129032256,933.4388231475804,5005,2,0,0,0,53,26,0,2,1,0,0,0,21,13,0,1,1,0,0,0,32,13,0,1,SMTP.Microsoft365,Email,0,6,lo4p123ca0355.outlook.office365.com,,,,,Normal,TCP,submission,SMTP.Microsoft365,lo4p123ca0355.outlook.office365.com,"Click on ""Send"" button",Email
7,7,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,55076,8.8.4.4,00:0c:29:6d:3c:ad,00:0c:29,53,6,4,0,0,1712306400659,1712306400659,0,1,78,1712306400659,1712306400659,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,1,1,,,,,,Normal,TCP,domain,DNS,,Open Firefox app,Network
8,8,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,58600,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306400667,1712306400667,0,1,84,1712306400667,1712306400667,0,1,84,0,0,0,0,0,84,84.0,0.0,84,84,84.0,0.0,84,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,detectportal.firefox.com,,,,,Normal,UDP,domain,DNS,detectportal.firefox.com,Open Firefox app,Network
9,9,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,34309,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306400970,1712306400970,0,1,88,1712306400970,1712306400970,0,1,88,0,0,0,0,0,88,88.0,0.0,88,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,contile.services.mozilla.com,,,,,Normal,UDP,domain,DNS,contile.services.mozilla.com,Open Firefox app,Network
10,10,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,46783,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306401344,1712306401344,0,1,95,1712306401344,1712306401344,0,1,95,0,0,0,0,0,95,95.0,0.0,95,95,95.0,0.0,95,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,content-signature-2.cdn.mozilla.net,,,,,Normal,UDP,domain,DNS,content-signature-2.cdn.mozilla.net,Open Firefox app,Network
11,11,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,39970,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306401344,1712306401344,0,1,95,1712306401344,1712306401344,0,1,95,0,0,0,0,0,95,95.0,0.0,95,95,95.0,0.0,95,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,content-signature-2.cdn.mozilla.net,,,,,Normal,UDP,domain,DNS,content-signature-2.cdn.mozilla.net,Open Firefox app,Network
12,12,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,38917,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306401882,1712306401882,0,1,97,1712306401882,1712306401882,0,1,97,0,0,0,0,0,97,97.0,0.0,97,97,97.0,0.0,97,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,firefox.settings.services.mozilla.com,,,,,Normal,UDP,domain,DNS,firefox.settings.services.mozilla.com,Open Firefox app,Network
13,13,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,41986,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306405630,1712306405674,44,2,164,1712306405630,1712306405630,0,1,74,1712306405674,1712306405674,0,1,90,74,82.0,11.31370849898476,90,74,74.0,0.0,74,90,90.0,0.0,90,44,44.0,0.0,44,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Google,Network,0,6,www.google.com,,,,,Normal,UDP,domain,DNS.Google,www.google.com,Click on Firefox url bar,Network
14,14,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,46852,8.8.8.8,00:0c:29:6d:3c:ad,00:0c:29,53,17,4,0,0,1712306405645,1712306405674,29,2,279,1712306405645,1712306405645,0,1,84,1712306405674,1712306405674,0,1,195,84,139.5,78.48885271170677,195,84,84.0,0.0,84,195,195.0,0.0,195,29,29.0,0.0,29,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,detectportal.firefox.com,,,,,Normal,UDP,domain,DNS,detectportal.firefox.com,Click on Firefox url bar,Network
15,15,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,33196,34.107.243.93,00:0c:29:6d:3c:ad,00:0c:29,443,6,4,0,0,1712306407372,1712306407861,489,16,3547,1712306407372,1712306407861,489,8,1958,1712306407389,1712306407816,427,8,1589,54,221.6875,271.19063866586544,852,60,244.75,282.558085052563,711,54,198.625,276.6591185143603,852,0,32.6,68.53966526242826,237,0,69.85714285714286,105.77244217568924,249,0,61.0,94.31507479365816,237,2,0,0,0,15,7,0,0,1,0,0,0,7,4,0,0,1,0,0,0,8,3,0,0,TLS,Web,0,6,push.services.mozilla.com,c279b0189edb9269da7bc43dea5e0c36,2b0648ab686ee45e0e7c35fcfb0eea7e,,,Normal,TCP,https,TLS,push.services.mozilla.com,Click on Firefox url bar,Web
16,16,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,42632,52.97.215.114,00:0c:29:6d:3c:ad,00:0c:29,993,6,4,0,0,1712306324460,1712306609916,285456,80,14718,1712306324460,1712306609916,285456,37,5652,1712306324480,1712306609905,285425,43,9066,54,183.975,330.3353484038051,1645,60,152.75675675675674,274.5827547192088,1645,54,210.8372093023255,372.8673280092913,1514,0,3613.367088607596,16789.877451162556,101558,0,7929.333333333333,24352.33479566179,101558,0,6795.833333333333,23229.917002588594,106696,2,0,0,0,79,35,0,2,1,0,0,0,36,18,0,1,1,0,0,0,43,17,0,1,IMAPS.Microsoft365,Email,0,6,outlook.office365.com,9f7f6e9be3564f60b4ec89f732938b43,986571066668055ae9481cb84fda634a,,,Normal,TCP,imaps,IMAPS.Microsoft365,outlook.office365.com,Open Thunderbird app,Email
17,17,0,192.168.3.10,00:0c:29:50:75:05,00:0c:29,42638,52.97.215.114,00:0c:29:6d:3c:ad,00:0c:29,993,6,4,0,0,1712306324460,1712306609916,285456,77,13457,1712306324460,1712306609916,285456,35,4907,1712306324480,1712306609910,285430,42,8550,54,174.76623376623368,333.93238742469293,1653,60,140.2,277.6552877643958,1653,54,203.5714285714285,375.3701355674931,1514,0,3755.999999999999,17857.871437174887,100606,0,8395.764705882353,26165.971676227524,100607,0,6961.70731707317,24509.858491272345,105293,2,0,0,0,76,34,0,2,1,0,0,0,34,16,0,1,1,0,0,0,42,18,0,1,IMAPS.Microsoft365,Email,0,6,outlook.office365.com,9f7f6e9be3564f60b4ec89f732938b43,986571066668055ae9481cb84fda634a,,,Normal,TCP,imaps,IMAPS.Microsoft365,outlook.office365.com,Open Thunderbird app,Email
